Layer    From       To   Resistivity
   1      0.0      1.2      3528.3
   2      1.2      1.5        58.0
   3      1.5      1.6        31.7
   4      1.6      9.3      3871.6
   5      9.3     43.1         1.6
   6     43.1     60.2      5159.1
   7     60.2    392.4         1.0
   8    392.4   2952.3         1.7
   9   2952.3   30218.9        10.0
  10   30218.9   36239.3         1.2
  11   36239.3      Inf      2562.1
