Layer    From       To   Resistivity
   1      0.0      2.2      7643.9
   2      2.2      8.9      5249.0
   3      8.9     56.2         1.8
   4     56.2     70.4        23.0
   5     70.4    378.5         1.0
   6    378.5   3413.6         1.7
   7   3413.6   3893.5        17.2
   8   3893.5   10569.8        40.4
   9   10569.8      Inf         5.1
