Layer    From       To   Resistivity
   1      0.0      1.5         6.5
   2      1.5      2.7        47.5
   3      2.7      2.8        25.7
   4      2.8      3.2      1228.6
   5      3.2      7.2        15.6
   6      7.2      9.9       668.3
   7      9.9     51.6         1.7
   8     51.6     63.5       135.2
   9     63.5     68.9         2.4
  10     68.9    399.8         1.0
  11    399.8    525.9         1.8
  12    525.9   2921.4         1.6
  13   2921.4   4051.3         4.7
  14   4051.3      Inf        14.0
