Layer    From       To   Resistivity
   1      0.0      1.2         6.7
   2      1.2      1.3         0.5
   3      1.3      1.4         0.4
   4      1.4      1.4         9.6
   5      1.4      2.9        17.6
   6      2.9      3.2         8.2
   7      3.2      4.8       166.2
   8      4.8      5.7        10.4
   9      5.7     20.7        21.2
  10     20.7     26.7         0.3
  11     26.7     62.1        48.3
  12     62.1    160.2         1.0
  13    160.2    168.2         7.4
  14    168.2    428.0         1.0
  15    428.0   3230.4         1.8
  16   3230.4   3542.2        18.0
  17   3542.2   11576.2        11.5
  18   11576.2      Inf         7.7
