Layer    From       To   Resistivity
   1      0.0      1.8      8965.1
   2      1.8     10.6        17.7
   3     10.6     48.6         1.6
   4     48.6     65.7       922.5
   5     65.7    357.9         1.0
   6    357.9   3523.5         1.6
   7   3523.5   12089.4      7352.5
   8   12089.4      Inf         6.0
