Layer    From       To   Resistivity
   1      0.0      6.0        75.5
   2      6.0      7.7       243.9
   3      7.7     13.0       549.3
   4     13.0     32.1         1.1
   5     32.1     59.3        16.3
   6     59.3    387.2         1.0
   7    387.2   3098.2         1.6
   8   3098.2   9182.0        37.1
   9   9182.0   14031.6         7.4
  10   14031.6      Inf         4.4
