Layer    From       To   Resistivity
   1      0.0      1.3        79.9
   2      1.3     12.3      5434.7
   3     12.3     14.3         7.0
   4     14.3     26.2         0.8
   5     26.2     32.4         2.1
   6     32.4     39.2        82.2
   7     39.2     55.7      8041.4
   8     55.7    282.2         1.1
   9    282.2    325.2         0.6
  10    325.2   3400.0         1.6
  11   3400.0   14100.5        34.7
  12   14100.5      Inf         4.8
