Layer    From       To   Resistivity
   1      0.0      1.6        27.7
   2      1.6      2.2      8094.6
   3      2.2      3.6        43.6
   4      3.6      6.5        15.9
   5      6.5      9.3      8960.9
   6      9.3     45.9         1.8
   7     45.9     74.1         2.9
   8     74.1    425.1         1.0
   9    425.1    541.9         2.4
  10    541.9   1350.0         1.7
  11   1350.0   2226.0         1.0
  12   2226.0   3193.0       231.2
  13   3193.0   19776.8         7.5
  14   19776.8   20949.0        22.5
  15   20949.0   49880.2         4.1
  16   49880.2      Inf         0.9
