Layer    From       To   Resistivity
   1      0.0      1.5      2319.8
   2      1.5      3.5      5354.2
   3      3.5     11.7       471.9
   4     11.7     12.0         1.7
   5     12.0     26.6         1.1
   6     26.6     33.0        29.2
   7     33.0     39.1       433.8
   8     39.1     81.4         1.7
   9     81.4    302.4         1.0
  10    302.4    346.6         0.8
  11    346.6   3331.8         1.6
  12   3331.8   8920.3       164.6
  13   8920.3      Inf         6.3
