Layer    From       To   Resistivity
   1      0.0      1.9      2240.0
   2      1.9      5.9      3998.5
   3      5.9      7.2        18.2
   4      7.2      8.8       271.4
   5      8.8      9.2       140.7
   6      9.2     32.9         1.8
   7     32.9     35.4         0.4
   8     35.4     35.4         5.9
   9     35.4     45.0         9.7
  10     45.0     45.7       385.6
  11     45.7     99.1         2.4
  12     99.1    111.9         0.2
  13    111.9    178.4      2018.8
  14    178.4    262.1         0.6
  15    262.1   2847.5         1.6
  16   2847.5   21429.2         8.9
  17   21429.2   31004.2        13.3
  18   31004.2      Inf         5.9
