Layer    From       To   Resistivity
   1      0.0      2.0       216.4
   2      2.0     13.1        28.6
   3     13.1     34.7         1.2
   4     34.7     64.1         8.0
   5     64.1    330.8         1.0
   6    330.8   1992.6         1.5
   7   1992.6   2584.4         1.6
   8   2584.4   7351.9         8.2
   9   7351.9   20760.8         9.0
  10   20760.8   23721.8        17.4
  11   23721.8   25279.5         1.2
  12   25279.5      Inf         5.1
