Layer    From       To   Resistivity
   1      0.0      1.3        13.1
   2      1.3     15.9      1444.5
   3     15.9     17.3         2.5
   4     17.3     18.4      3387.4
   5     18.4     41.1         1.4
   6     41.1     82.1        60.6
   7     82.1    402.4         1.8
   8    402.4   3372.4         2.3
   9   3372.4   12490.9      1040.2
  10   12490.9   13541.3         5.7
  11   13541.3      Inf        11.8
