Layer    From       To   Resistivity
   1      0.0     15.6        89.8
   2     15.6     16.2         0.7
   3     16.2     49.5         2.0
   4     49.5     83.0       577.9
   5     83.0    543.0         1.8
   6    543.0    626.3        90.5
   7    626.3    666.8         3.7
   8    666.8   1388.7         1.9
   9   1388.7   1725.9      2551.1
  10   1725.9   2518.9         1.2
  11   2518.9   3525.1      6016.7
  12   3525.1   6328.3      3522.3
  13   6328.3      Inf        15.6
