Layer    From       To   Resistivity
   1      0.0      7.0      4935.6
   2      7.0     10.2      2011.6
   3     10.2     14.4         2.9
   4     14.4     61.8         2.6
   5     61.8    101.6         6.1
   6    101.6    343.1         1.8
   7    343.1   2714.1         2.2
   8   2714.1   3085.9      1024.8
   9   3085.9      Inf        21.7
