Layer    From       To   Resistivity
   1      0.0      7.7       140.5
   2      7.7     14.5        96.3
   3     14.5     38.1         2.0
   4     38.1     45.4         1.7
   5     45.4    110.8         6.6
   6    110.8    158.4         1.0
   7    158.4    216.6        17.2
   8    216.6    396.0         1.4
   9    396.0    466.8         8.0
  10    466.8   3262.3         2.3
  11   3262.3   9313.3        34.1
  12   9313.3   13696.4       162.1
  13   13696.4      Inf         8.8
