Layer    From       To   Resistivity
   1      0.0      1.8        11.3
   2      1.8      1.8       614.1
   3      1.8     12.3       527.3
   4     12.3     18.0        20.0
   5     18.0     42.8         1.5
   6     42.8     43.2      5416.2
   7     43.2     52.3       330.2
   8     52.3     79.9      1246.7
   9     79.9    447.4         1.9
  10    447.4    517.9         2.3
  11    517.9   2492.3         2.4
  12   2492.3   3296.6         1.9
  13   3296.6   5591.5       193.3
  14   5591.5   9956.0      1598.3
  15   9956.0   9961.6      1070.1
  16   9961.6   10806.4      1487.1
  17   10806.4      Inf        11.6
