Layer    From       To   Resistivity
   1      0.0      2.2        77.4
   2      2.2      3.4        87.9
   3      3.4      3.6      3446.0
   4      3.6     20.3       276.3
   5     20.3     33.5         0.9
   6     33.5     76.7        40.2
   7     76.7    473.0         1.9
   8    473.0   2958.2         2.4
   9   2958.2   3100.9         7.2
  10   3100.9   13690.7        22.8
  11   13690.7      Inf        17.3
