Layer    From       To   Resistivity
   1      0.0      4.6       281.5
   2      4.6      6.1        76.9
   3      6.1     19.9        71.9
   4     19.9     36.4         1.1
   5     36.4     77.7       127.5
   6     77.7    413.8         1.9
   7    413.8   3262.2         2.3
   8   3262.2   13267.2       135.8
   9   13267.2      Inf        10.7
