Layer    From       To   Resistivity
   1      0.0      1.0         5.6
   2      1.0      1.5      2518.4
   3      1.5      4.6       223.6
   4      4.6     17.9       400.1
   5     17.9     44.4         1.5
   6     44.4     88.0      2546.5
   7     88.0    135.4         1.5
   8    135.4    488.0         2.0
   9    488.0   2876.2         2.4
  10   2876.2   3621.5         3.3
  11   3621.5   9693.2        92.0
  12   9693.2   32495.0        21.9
  13   32495.0   34885.8         2.7
  14   34885.8      Inf        37.7
