Layer    From       To   Resistivity
   1      0.0      3.7      2348.7
   2      3.7      4.3       537.8
   3      4.3      5.8       361.8
   4      5.8      6.3       114.8
   5      6.3     14.8        98.8
   6     14.8     16.2        29.8
   7     16.2     44.7         1.7
   8     44.7     65.5        80.1
   9     65.5     70.6         4.2
  10     70.6     90.5         6.1
  11     90.5     97.2         1.4
  12     97.2    436.0         1.9
  13    436.0   3677.5         2.5
  14   3677.5   10810.4       697.3
  15   10810.4   12392.4       228.3
  16   12392.4      Inf        10.8
