Layer    From       To   Resistivity
   1      0.0      2.0      1810.3
   2      2.0     21.6       222.9
   3     21.6     21.9         4.5
   4     21.9     23.1         0.1
   5     23.1     31.6         5.1
   6     31.6     33.3        14.3
   7     33.3     57.0         3.4
   8     57.0     80.7      1698.3
   9     80.7    148.8         1.9
  10    148.8    422.5         1.9
  11    422.5    647.3         2.5
  12    647.3   3207.7         2.3
  13   3207.7   3298.5        37.4
  14   3298.5   6344.1        17.4
  15   6344.1   6435.5       468.1
  16   6435.5   14803.7      1471.7
  17   14803.7   24039.3         8.7
  18   24039.3   31771.7       225.9
  19   31771.7      Inf        19.1
