Layer    From       To   Resistivity
   1      0.0      9.3       192.6
   2      9.3     18.7      1473.9
   3     18.7     39.1         1.2
   4     39.1     41.2       228.3
   5     41.2     59.7       277.9
   6     59.7     79.8       801.9
   7     79.8    363.2         1.8
   8    363.2    382.1      5990.8
   9    382.1    389.6      8657.1
  10    389.6    434.2         1.2
  11    434.2   3483.8         2.4
  12   3483.8   3656.2      2095.3
  13   3656.2   3826.5      1279.4
  14   3826.5   12094.1      9805.5
  15   12094.1      Inf        11.9
