Layer    From       To   Resistivity
   1      0.0     14.0      7517.1
   2     14.0     49.3         2.0
   3     49.3     86.6        17.3
   4     86.6    462.5         1.8
   5    462.5   3141.8         2.5
   6   3141.8   12665.3        33.7
   7   12665.3   13024.7         6.1
   8   13024.7   32583.1        14.1
   9   32583.1   35781.2        69.2
  10   35781.2      Inf        15.2
