Layer    From       To   Resistivity
   1      0.0      2.4      8813.2
   2      2.4      2.7      2117.0
   3      2.7     14.0       156.9
   4     14.0     14.5        52.3
   5     14.5     19.3         9.8
   6     19.3     39.9         1.9
   7     39.9     86.5        17.6
   8     86.5     87.3        54.5
   9     87.3    416.2         1.8
  10    416.2   2728.1         2.7
  11   2728.1   10020.6        15.2
  12   10020.6      Inf        18.6
