Layer    From       To   Resistivity
   1      0.0      4.1      7666.9
   2      4.1      4.4       553.2
   3      4.4      5.8      2562.0
   4      5.8     10.2      7445.2
   5     10.2     12.0        10.5
   6     12.0     64.0         3.5
   7     64.0     66.0         7.2
   8     66.0     91.8        83.9
   9     91.8    404.8         1.8
  10    404.8   2954.4         2.7
  11   2954.4   3238.7        48.8
  12   3238.7   5021.6       688.4
  13   5021.6   6026.8        11.3
  14   6026.8   46988.8        15.1
  15   46988.8      Inf        36.6
