Layer    From       To   Resistivity
   1      0.0      5.0       520.3
   2      5.0      5.4      4060.2
   3      5.4     11.1      2388.3
   4     11.1     14.2         4.2
   5     14.2     14.3        86.7
   6     14.3     15.6       192.1
   7     15.6     55.8         3.1
   8     55.8     94.9        13.9
   9     94.9    228.3         1.7
  10    228.3    669.9         2.1
  11    669.9   3139.3         3.0
  12   3139.3      Inf        19.9
