Layer    From       To   Resistivity
   1      0.0      1.2      1018.2
   2      1.2     11.2      1885.9
   3     11.2     60.0         3.4
   4     60.0    108.6         8.1
   5    108.6    110.6         1.1
   6    110.6    185.3         1.3
   7    185.3    243.6        11.2
   8    243.6    368.8         1.2
   9    368.8    387.7         0.8
  10    387.7    518.4        62.5
  11    518.4    642.7      2614.4
  12    642.7    706.9         0.4
  13    706.9   1632.9         4.8
  14   1632.9   2021.0         0.9
  15   2021.0   3405.0        13.1
  16   3405.0   7553.1        16.7
  17   7553.1   7698.2       236.3
  18   7698.2      Inf        16.5
