Layer    From       To   Resistivity
   1      0.0      2.3        40.5
   2      2.3     16.6       102.0
   3     16.6     44.9         2.4
   4     44.9     89.0        15.7
   5     89.0    378.8         1.7
   6    378.8    486.9       151.0
   7    486.9    513.0         0.4
   8    513.0    519.0         0.9
   9    519.0   3567.0         3.0
  10   3567.0   5248.9       729.3
  11   5248.9   6016.0       238.9
  12   6016.0   7433.3       236.8
  13   7433.3   9011.5        52.2
  14   9011.5   9830.5         1.9
  15   9830.5   14455.3      4129.2
  16   14455.3   19016.8       116.1
  17   19016.8   41805.4        11.3
  18   41805.4      Inf       166.6
