Layer    From       To   Resistivity
   1      0.0      2.9       461.9
   2      2.9     14.9       576.0
   3     14.9     59.3         2.8
   4     59.3    118.7        38.4
   5    118.7    123.9         0.2
   6    123.9    569.3         2.0
   7    569.3   3137.2         2.9
   8   3137.2      Inf        18.3
