Layer    From       To   Resistivity
   1      0.0      2.6       582.4
   2      2.6     11.6      2264.3
   3     11.6     67.8         3.5
   4     67.8     86.6       128.4
   5     86.6     96.2      6205.2
   6     96.2    215.7         1.7
   7    215.7    553.2         2.0
   8    553.2    611.5        29.0
   9    611.5   1663.8         2.6
  10   1663.8   2304.9         3.6
  11   2304.9   2764.7         1.3
  12   2764.7   4959.0      1954.9
  13   4959.0      Inf        14.2
