Layer    From       To   Resistivity
   1      0.0      2.0       748.6
   2      2.0      3.8       577.1
   3      3.8     12.5       136.7
   4     12.5     48.4         3.3
   5     48.4    116.2         5.2
   6    116.2    205.2         1.4
   7    205.2    221.8        30.9
   8    221.8    249.6         4.8
   9    249.6    398.0         1.6
  10    398.0   3176.1         2.9
  11   3176.1      Inf        18.0
