Layer    From       To   Resistivity
   1      0.0     10.2        24.0
   2     10.2     19.4        87.7
   3     19.4     36.6         2.1
   4     36.6     63.3         4.2
   5     63.3     97.2       188.2
   6     97.2    160.8         1.4
   7    160.8    542.3         2.0
   8    542.3   2979.6         2.7
   9   2979.6   4230.9       190.0
  10   4230.9      Inf        17.3
