Layer    From       To   Resistivity
   1      0.0      4.1      2613.1
   2      4.1      5.0       205.4
   3      5.0     10.1        22.8
   4     10.1     29.0         5.7
   5     29.0     47.2         1.9
   6     47.2    100.9        16.9
   7    100.9    167.8         1.4
   8    167.8    588.8         2.0
   9    588.8   2976.7         2.9
  10   2976.7      Inf        16.4
